Brand,Model,Variant,Ex-Showroom Price,Engine Type,Displacement,Max Power,Max Torque,No. of Cylinders,Valves Per Cylinder,Transmission,Gearbox,Drive Type,Fuel Type,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Turning Radius,Front Brake Type,Rear Brake Type,Length,Width,Height,Boot Space,Seating Capacity,Ground Clearance Unladen,Wheel Base,Kerb Weight,Gross Weight,No. of Doors,Power Steering,Air Conditioner,Heater,Adjustable Steering,Height Adjustable Driver Seat,Automatic Climate Control,Accessory Power Outlet,Trunk Light,Vanity Mirror,Rear Reading Lamp,Rear Seat Headrest,Adjustable Headrest,Rear Seat Centre Arm Rest,Rear AC Vents,Cruise Control,Parking Sensors,Real-Time Vehicle Tracking,KeyLess Entry,Engine Start/Stop Button,Voice Commands,USB Charger,Hands-Free Tailgate,Gear Shift Indicator,Luggage Hook & Net,Idle Start-Stop System,Follow Me Home Headlamps,Additional Features (Comfort & Convenience),Power Windows,Cup Holders,Tachometer,Leather Wrapped Steering Wheel,Glove Box,Additional Features (Interior),Adjustable Headlamps,Rear Window Defogger,Wheel Covers,Alloy Wheels,Outside Rear View Mirror Turn Indicators,Integrated Antenna,Projector Headlamps,Automatic Headlamps,Fog Lights,Antenna,Sunroof,Boot Opening,Outside Rear View Mirror (ORVM),Tyre Size,Tyre Type,Wheel Size,LED DRLs,LED Headlamps,LED Fog Lamps,Additional Features (Exterior),Anti-lock Braking System (ABS),Central Locking,No. of Airbags,Driver Airbag,Passenger Airbag,Side Airbag,Side Airbag-Rear,Day & Night Rear View Mirror,Curtain Airbag,Electronic Brakeforce Distribution (EBD),Seat Belt Warning,Tyre Pressure Monitoring System (TPMS),Engine Immobilizer,Electronic Stability Control (ESC),Rear Camera,Anti-Theft Device,Anti-Pinch Power Windows,Speed Alert,Speed Sensing Auto Door Lock,ISOFIX Child Seat Mounts,Pretensioners & Force Limiter Seatbelts,Hill Assist,Impact Sensing Auto Door Unlock,360 View Camera,Global NCAP Safety Rating,Global NCAP Child Safety Rating,Radio,Wireless Phone Charging,Bluetooth Connectivity,Touchscreen,Touchscreen Size,Android Auto,Apple CarPlay,USB Ports,Speakers,Driver Attention Warning,Live Location,Over the Air (OTA) Updates,Google / Alexa Connectivity,Over Speeding Alert,Tow Away Alert,Smartwatch App,Valet Mode,Remote Door Lock/Unlock,Geo-fence Alert,City-wise Prices
Maruti,Maruti Suzuki Dzire,Dzire LXI,Rs.6.79 Lakh*Get On-Road Price,Z12E,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3,4,Manual,5-Speed,FWD,Petrol,24.79 kmpl,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Disc,Drum,3995 mm,1735 mm,1525 mm,382 Litres,5,163 mm,2450 mm,920-960 kg,1375 kg,4,Yes,Yes,Yes,Height only,No,No,Yes,No,No,Yes,Integrated,Yes,No,No,No,Rear,No,Yes,No,No,No,No,Yes,Yes,Yes,No,N/A,Front & Rear,Front Only,Yes,No,Yes,N/A,Yes,Yes,No,No,No,Yes,Yes,No,No,Shark Fin,No,Electronic,Manual,165/80 R14,Radial Tubeless,14 Inch,No,No,No,N/A,Yes,Yes,6,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Driver's Window,Yes,Yes,Yes,Driver and Passenger,Yes,Yes,No,5 Star,4 Star,No,No,No,No,inch,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Bangalore: Rs.8.12 Lakh; Mumbai: Rs.7.91 Lakh; Pune: Rs.7.91 Lakh; Hyderabad: Rs.8.12 Lakh; Chennai: Rs.8.05 Lakh; Ahmedabad: Rs.7.67 Lakh; Lucknow: Rs.7.70 Lakh; Jaipur: Rs.7.87 Lakh; Patna: Rs.7.87 Lakh; Chandigarh: Rs.7.84 Lakh
Maruti,Maruti Suzuki Dzire,Dzire VXI,Rs.7.79 Lakh*Get On-Road Price,Z12E,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3,4,Manual,5-Speed,FWD,Petrol,24.79 kmpl,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Disc,Drum,3995 mm,1735 mm,1525 mm,382 Litres,5,163 mm,2450 mm,920-960 kg,1375 kg,4,Yes,Yes,Yes,Height only,Yes,No,Yes,Yes,Yes,Yes,Adjustable,Yes,Yes,Yes,No,Rear,No,Yes,No,Yes,Front & Rear,No,Yes,Yes,Yes,No,N/A,Front & Rear,Front & Rear,Yes,No,Yes,N/A,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Shark Fin,No,Electronic,Powered,165/80 R14,Radial Tubeless,14 Inch,No,No,No,N/A,Yes,Yes,6,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Driver's Window,Yes,Yes,Yes,Driver and Passenger,Yes,Yes,No,5 Star,4 Star,Yes,No,Yes,Yes,7 inch,Yes,Yes,Yes,Front & Rear,No,No,Yes,No,No,No,No,No,No,No,Bangalore: Rs.9.29 Lakh; Mumbai: Rs.9.06 Lakh; Pune: Rs.9.06 Lakh; Hyderabad: Rs.9.29 Lakh; Chennai: Rs.9.22 Lakh; Ahmedabad: Rs.8.76 Lakh; Lucknow: Rs.8.82 Lakh; Jaipur: Rs.9.01 Lakh; Patna: Rs.9 Lakh; Chandigarh: Rs.8.98 Lakh
Maruti,Maruti Suzuki Dzire,Dzire VXI AMT,Rs.8.24 Lakh*Get On-Road Price,Z12E,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3,4,Automatic,5-Speed,FWD,Petrol,25.71 kmpl,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Disc,Drum,3995 mm,1735 mm,1525 mm,382 Litres,5,163 mm,2450 mm,920-960 kg,1375 kg,4,Yes,Yes,Yes,Height only,Yes,No,Yes,Yes,Yes,Yes,Adjustable,Yes,Yes,Yes,No,Rear,No,Yes,No,Yes,Front & Rear,No,No,Yes,Yes,No,N/A,Front & Rear,Front & Rear,Yes,No,Yes,N/A,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Shark Fin,No,Electronic,Powered,165/80 R14,Radial Tubeless,14 Inch,No,No,No,N/A,Yes,Yes,6,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Driver's Window,Yes,Yes,Yes,Driver and Passenger,Yes,Yes,No,5 Star,4 Star,Yes,No,Yes,Yes,7 inch,Yes,Yes,Yes,Front & Rear,No,No,Yes,No,No,No,No,No,No,No,Bangalore: Rs.9.82 Lakh; Mumbai: Rs.9.58 Lakh; Pune: Rs.9.58 Lakh; Hyderabad: Rs.9.82 Lakh; Chennai: Rs.9.74 Lakh; Ahmedabad: Rs.9.25 Lakh; Lucknow: Rs.9.32 Lakh; Jaipur: Rs.9.52 Lakh; Patna: Rs.9.57 Lakh; Chandigarh: Rs.9.49 Lakh
Maruti,Maruti Suzuki Dzire,Dzire VXI CNG,Rs.8.74 Lakh*Get On-Road Price,Z12E,1197 cc,69bhp@5700rpm,101.8Nm@2900rpm,3,4,Manual,5-Speed,FWD,CNG,N/A,N/A,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Disc,Drum,3995 mm,1735 mm,1525 mm,N/A,5,163 mm,2450 mm,1020-1025 kg,1435 kg,4,Yes,Yes,Yes,Height only,Yes,No,Yes,Yes,Yes,Yes,Adjustable,Yes,Yes,Yes,No,Rear,No,Yes,No,Yes,Front & Rear,No,Yes,Yes,Yes,No,N/A,Front & Rear,Front & Rear,Yes,No,Yes,N/A,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Shark Fin,No,Electronic,Powered,165/80 R14,Radial Tubeless,14 Inch,No,No,No,N/A,Yes,Yes,6,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Driver's Window,Yes,Yes,Yes,Driver and Passenger,Yes,Yes,No,5 Star,4 Star,Yes,No,Yes,Yes,7 inch,Yes,Yes,Yes,Front & Rear,No,No,Yes,No,No,No,No,No,No,No,Bangalore: Rs.10.41 Lakh; Mumbai: Rs.9.80 Lakh; Pune: Rs.9.80 Lakh; Hyderabad: Rs.10.41 Lakh; Chennai: Rs.10.33 Lakh; Ahmedabad: Rs.9.82 Lakh; Lucknow: Rs.9.88 Lakh; Jaipur: Rs.10.09 Lakh; Patna: Rs.10.14 Lakh; Chandigarh: Rs.10.05 Lakh
Maruti,Maruti Suzuki Dzire,Dzire ZXI,Rs.8.89 Lakh*Get On-Road Price,Z12E,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3,4,Manual,5-Speed,FWD,Petrol,24.79 kmpl,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Disc,Drum,3995 mm,1735 mm,1525 mm,382 Litres,5,163 mm,2450 mm,920-960 kg,1375 kg,4,Yes,Yes,Yes,Height only,Yes,Yes,Yes,Yes,Yes,Yes,Adjustable,Yes,Yes,Yes,No,Rear,Yes,Yes,Yes,Yes,Front & Rear,No,Yes,Yes,Yes,Yes,N/A,Front & Rear,Front & Rear,Yes,No,Yes,N/A,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Shark Fin,No,Electronic,Powered,185/65 R15,Radial Tubeless,N/A,Yes,Yes,No,N/A,Yes,Yes,6,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,With Guidedlines,No,Driver's Window,Yes,Yes,Yes,Driver and Passenger,Yes,Yes,No,5 Star,4 Star,Yes,Yes,Yes,Yes,7 inch,Yes,Yes,Yes,Front & Rear,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangalore: Rs.10.59 Lakh; Mumbai: Rs.10.32 Lakh; Pune: Rs.10.32 Lakh; Hyderabad: Rs.10.59 Lakh; Chennai: Rs.10.50 Lakh; Ahmedabad: Rs.9.98 Lakh; Lucknow: Rs.10.05 Lakh; Jaipur: Rs.10.26 Lakh; Patna: Rs.10.32 Lakh; Chandigarh: Rs.10.22 Lakh
Maruti,Maruti Suzuki Dzire,Dzire ZXI AMT,Rs.9.34 Lakh*Get On-Road Price,Z12E,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3,4,Automatic,5-Speed AMT,FWD,Petrol,25.71 kmpl,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Disc,Drum,3995 mm,1735 mm,1525 mm,382 Litres,5,163 mm,2450 mm,920-960 kg,1375 kg,4,Yes,Yes,Yes,Height only,Yes,Yes,Yes,Yes,Yes,Yes,Adjustable,Yes,Yes,Yes,No,Rear,Yes,Yes,Yes,Yes,Front & Rear,No,No,Yes,Yes,Yes,N/A,Front & Rear,Front & Rear,Yes,No,Yes,N/A,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Shark Fin,No,Electronic,Powered,185/65 R15,Radial Tubeless,N/A,Yes,Yes,No,N/A,Yes,Yes,6,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,With Guidedlines,No,Driver's Window,Yes,Yes,Yes,Driver and Passenger,Yes,Yes,No,5 Star,4 Star,Yes,Yes,Yes,Yes,7 inch,Yes,Yes,Yes,Front & Rear,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangalore: Rs.11.12 Lakh; Mumbai: Rs.10.84 Lakh; Pune: Rs.10.84 Lakh; Hyderabad: Rs.11.12 Lakh; Chennai: Rs.11.03 Lakh; Ahmedabad: Rs.10.47 Lakh; Lucknow: Rs.10.55 Lakh; Jaipur: Rs.10.77 Lakh; Patna: Rs.10.83 Lakh; Chandigarh: Rs.10.74 Lakh
Maruti,Maruti Suzuki Dzire,Dzire ZXI CNG,Rs.9.84 Lakh*Get On-Road Price,Z12E,1197 cc,69bhp@5700rpm,101.8Nm@2900rpm,3,4,Manual,5-Speed,FWD,CNG,N/A,N/A,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Disc,Drum,3995 mm,1735 mm,1525 mm,N/A,5,163 mm,2450 mm,1020-1025 kg,1435 kg,4,Yes,Yes,Yes,Height only,Yes,Yes,Yes,Yes,Yes,Yes,Adjustable,Yes,Yes,Yes,No,Rear,Yes,Yes,Yes,Yes,Front & Rear,No,Yes,Yes,Yes,Yes,N/A,Front & Rear,Front & Rear,Yes,No,Yes,N/A,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Shark Fin,N/A,Electronic,Powered,185/65 R15,Radial Tubeless,N/A,Yes,Yes,No,N/A,Yes,Yes,6,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,With Guidedlines,Yes,Driver's Window,Yes,Yes,Yes,Driver and Passenger,Yes,Yes,No,5 Star,4 Star,Yes,Yes,Yes,Yes,7 inch,Yes,Yes,Yes,Front & Rear,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangalore: Rs.11.71 Lakh; Mumbai: Rs.11.02 Lakh; Pune: Rs.11.02 Lakh; Hyderabad: Rs.11.71 Lakh; Chennai: Rs.11.61 Lakh; Ahmedabad: Rs.11.04 Lakh; Lucknow: Rs.11.11 Lakh; Jaipur: Rs.11.34 Lakh; Patna: Rs.11.40 Lakh; Chandigarh: Rs.11.30 Lakh
Maruti,Maruti Suzuki Dzire,Dzire ZXI Plus AMT,Rs.10.14 Lakh*Get On-Road Price,Z12E,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3,4,Automatic,5-Speed AMT,FWD,Petrol,25.71 kmpl,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Disc,Drum,3995 mm,1735 mm,1525 mm,382 Litres,5,163 mm,2450 mm,920-960 kg,1375 kg,4,Yes,Yes,Yes,Height only,Yes,Yes,Yes,Yes,Yes,Yes,Adjustable,Yes,Yes,Yes,Yes,Rear,Yes,Yes,Yes,Yes,Front & Rear,No,No,Yes,Yes,Yes,N/A,Front & Rear,Front & Rear,Yes,Yes,Yes,N/A,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Front,Shark Fin,Single Pane,Electronic,Powered & Folding,185/65 R15,Radial Tubeless,N/A,Yes,Yes,Yes,N/A,Yes,Yes,6,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,With Guidedlines,Yes,Driver's Window,Yes,Yes,Yes,Driver and Passenger,Yes,Yes,Yes,5 Star,4 Star,Yes,Yes,Yes,Yes,9 inch,Yes,Yes,Yes,Front & Rear,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bangalore: Rs.12.47 Lakh; Mumbai: Rs.11.96 Lakh; Pune: Rs.11.96 Lakh; Hyderabad: Rs.12.47 Lakh; Chennai: Rs.12.57 Lakh; Ahmedabad: Rs.11.46 Lakh; Lucknow: Rs.11.75 Lakh; Jaipur: Rs.11.78 Lakh; Patna: Rs.11.85 Lakh; Chandigarh: Rs.11.75 Lakh
Maruti,Maruti Suzuki Swift,Swift LXi,Rs.6.49 Lakh*Get On-Road Price,Z12E,1197 cc,80.46bhp@5700rpm,111.7Nm@4300rpm,3,4,Manual,5-Speed,FWD,Petrol,24.8 kmpl,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Ventilated Disc,Drum,3860 mm,1735 mm,1520 mm,265 Litres,5,163 mm,2450 mm,920 kg,1355 kg,5,Yes,Yes,Yes,Height only,No,No,Yes,No,No,Yes,N/A,Yes,N/A,No,No,Rear,No,Yes,No,No,No,N/A,Yes,Yes,N/A,No,N/A,Front & Rear,Front Only,Yes,No,Yes,N/A,Yes,Yes,No,No,No,N/A,No,No,No,Micropole,N/A,Electronic,Manual,165/80 R14,Radial Tubeless,14 Inch,No,No,No,N/A,Yes,Yes,6,Yes,Yes,Yes,No,No,Yes,Yes,Yes,N/A,Yes,Yes,No,No,Driver's Window,Yes,Yes,Yes,Driver and Passenger,Yes,N/A,N/A,N/A,N/A,No,No,No,No,inch,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Bangalore: Rs.7.76 Lakh; Mumbai: Rs.7.59 Lakh; Pune: Rs.7.58 Lakh; Hyderabad: Rs.7.97 Lakh; Chennai: Rs.7.68 Lakh; Ahmedabad: Rs.7.31 Lakh; Lucknow: Rs.7.27 Lakh; Jaipur: Rs.7.80 Lakh; Patna: Rs.7.53 Lakh; Chandigarh: Rs.7.50 Lakh
Maruti,Maruti Suzuki Swift,Swift VXi,Rs.7.29 Lakh*Get On-Road Price,Z12E,1197 cc,80.46bhp@5700rpm,111.7Nm@4300rpm,3,4,Manual,5-Speed,FWD,Petrol,24.8 kmpl,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Ventilated Disc,Drum,3860 mm,1735 mm,1520 mm,265 Litres,5,163 mm,2450 mm,920 kg,1355 kg,5,Yes,Yes,Yes,Height only,No,No,Yes,No,Yes,Yes,N/A,Yes,N/A,No,No,Rear,No,Yes,No,Yes,Front,N/A,Yes,Yes,N/A,No,N/A,Front & Rear,Front Only,Yes,No,Yes,N/A,Yes,Yes,Yes,No,Yes,N/A,No,No,No,Micropole,N/A,Electronic,Powered,165/80 R14,Radial Tubeless,14 Inch,No,No,No,N/A,Yes,Yes,6,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,Yes,Driver's Window,Yes,Yes,Yes,Driver and Passenger,Yes,N/A,N/A,N/A,N/A,Yes,No,Yes,Yes,7 inch,Yes,Yes,Yes,Front & Rear,No,No,Yes,No,No,No,No,No,No,No,Bangalore: Rs.8.71 Lakh; Mumbai: Rs.8.50 Lakh; Pune: Rs.8.50 Lakh; Hyderabad: Rs.8.94 Lakh; Chennai: Rs.8.61 Lakh; Ahmedabad: Rs.8.21 Lakh; Lucknow: Rs.8.15 Lakh; Jaipur: Rs.8.74 Lakh; Patna: Rs.8.44 Lakh; Chandigarh: Rs.8.41 Lakh
