Brand,Model,Variant,Ex-Showroom Price,Engine Type,Displacement,Max Power,Max Torque,No. of Cylinders,Valves Per Cylinder,Transmission,Gearbox,Drive Type,Fuel Type,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Turning Radius,Front Brake Type,Rear Brake Type,Length,Width,Height,Boot Space,Seating Capacity,Ground Clearance Unladen,Wheel Base,Kerb Weight,Gross Weight,No. of Doors,Power Steering,Air Conditioner,Heater,Adjustable Steering,Height Adjustable Driver Seat,Automatic Climate Control,Accessory Power Outlet,Trunk Light,Vanity Mirror,Rear Reading Lamp,Rear Seat Headrest,Adjustable Headrest,Rear Seat Centre Arm Rest,Rear AC Vents,Cruise Control,Parking Sensors,Real-Time Vehicle Tracking,KeyLess Entry,Engine Start/Stop Button,Voice Commands,USB Charger,Hands-Free Tailgate,Gear Shift Indicator,Luggage Hook & Net,Idle Start-Stop System,Follow Me Home Headlamps,Additional Features (Comfort & Convenience),Power Windows,Cup Holders,Tachometer,Leather Wrapped Steering Wheel,Glove Box,Additional Features (Interior),Adjustable Headlamps,Rear Window Defogger,Wheel Covers,Alloy Wheels,Outside Rear View Mirror Turn Indicators,Integrated Antenna,Projector Headlamps,Automatic Headlamps,Fog Lights,Antenna,Sunroof,Boot Opening,Outside Rear View Mirror (ORVM),Tyre Size,Tyre Type,Wheel Size,LED DRLs,LED Headlamps,LED Fog Lamps,Additional Features (Exterior),Anti-lock Braking System (ABS),Central Locking,No. of Airbags,Driver Airbag,Passenger Airbag,Side Airbag,Side Airbag-Rear,Day & Night Rear View Mirror,Curtain Airbag,Electronic Brakeforce Distribution (EBD),Seat Belt Warning,Tyre Pressure Monitoring System (TPMS),Engine Immobilizer,Electronic Stability Control (ESC),Rear Camera,Anti-Theft Device,Anti-Pinch Power Windows,Speed Alert,Speed Sensing Auto Door Lock,ISOFIX Child Seat Mounts,Pretensioners & Force Limiter Seatbelts,Hill Assist,Impact Sensing Auto Door Unlock,360 View Camera,Global NCAP Safety Rating,Global NCAP Child Safety Rating,Radio,Wireless Phone Charging,Bluetooth Connectivity,Touchscreen,Touchscreen Size,Android Auto,Apple CarPlay,USB Ports,Speakers,Driver Attention Warning,City-wise Prices,Live Location,Over the Air (OTA) Updates,Google / Alexa Connectivity,Over Speeding Alert,Tow Away Alert,Smartwatch App,Valet Mode,Remote Door Lock/Unlock,Geo-fence Alert
Maruti,Maruti Suzuki Dzire,Dzire LXI,Rs.6.79 Lakh*Get On-Road Price,Z12E,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3,4,N/A,5-Speed,FWD,N/A,N/A,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Disc,Drum,3995 mm,1735 mm,1525 mm,382 Litres,5,163 mm,2450 mm,920-960 kg,1375 kg,4,N/A,N/A,N/A,Height only,N/A,N/A,N/A,N/A,N/A,N/A,Integrated,N/A,N/A,N/A,N/A,Rear,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Front & Rear,Front Only,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shark Fin,N/A,Electronic,Manual,165/80 R14,Radial Tubeless,14 Inch,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Driver's Window,N/A,N/A,N/A,Driver and Passenger,N/A,N/A,N/A,5 Star,4 Star,N/A,N/A,N/A,N/A,inch,N/A,N/A,N/A,N/A,N/A,Bangalore: Rs.8.12 Lakh; Mumbai: Rs.7.91 Lakh; Pune: Rs.7.91 Lakh; Hyderabad: Rs.8.12 Lakh; Chennai: Rs.8.05 Lakh; Ahmedabad: Rs.7.67 Lakh; Lucknow: Rs.7.70 Lakh; Jaipur: Rs.7.87 Lakh; Patna: Rs.7.87 Lakh; Chandigarh: Rs.7.84 Lakh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maruti,Maruti Suzuki Dzire,Dzire VXI,Rs.7.79 Lakh*Get On-Road Price,Z12E,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3,4,N/A,5-Speed,FWD,N/A,N/A,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Disc,Drum,3995 mm,1735 mm,1525 mm,382 Litres,5,163 mm,2450 mm,920-960 kg,1375 kg,4,N/A,N/A,N/A,Height only,N/A,N/A,N/A,N/A,N/A,N/A,Adjustable,N/A,N/A,N/A,N/A,Rear,N/A,N/A,N/A,N/A,Front & Rear,N/A,N/A,N/A,N/A,N/A,N/A,Front & Rear,Front & Rear,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shark Fin,N/A,Electronic,Powered,165/80 R14,Radial Tubeless,14 Inch,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Driver's Window,N/A,N/A,N/A,Driver and Passenger,N/A,N/A,N/A,5 Star,4 Star,N/A,N/A,N/A,N/A,7 inch,N/A,N/A,N/A,Front & Rear,N/A,Bangalore: Rs.9.29 Lakh; Mumbai: Rs.9.06 Lakh; Pune: Rs.9.06 Lakh; Hyderabad: Rs.9.29 Lakh; Chennai: Rs.9.22 Lakh; Ahmedabad: Rs.8.76 Lakh; Lucknow: Rs.8.82 Lakh; Jaipur: Rs.9.01 Lakh; Patna: Rs.9 Lakh; Chandigarh: Rs.8.98 Lakh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maruti,Maruti Suzuki Dzire,Dzire VXI AMT,Rs.8.24 Lakh*Get On-Road Price,Z12E,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3,4,N/A,5-Speed,FWD,N/A,N/A,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Disc,Drum,3995 mm,1735 mm,1525 mm,382 Litres,5,163 mm,2450 mm,920-960 kg,1375 kg,4,N/A,N/A,N/A,Height only,N/A,N/A,N/A,N/A,N/A,N/A,Adjustable,N/A,N/A,N/A,N/A,Rear,N/A,N/A,N/A,N/A,Front & Rear,N/A,N/A,N/A,N/A,N/A,N/A,Front & Rear,Front & Rear,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shark Fin,N/A,Electronic,Powered,165/80 R14,Radial Tubeless,14 Inch,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Driver's Window,N/A,N/A,N/A,Driver and Passenger,N/A,N/A,N/A,5 Star,4 Star,N/A,N/A,N/A,N/A,7 inch,N/A,N/A,N/A,Front & Rear,N/A,Bangalore: Rs.9.82 Lakh; Mumbai: Rs.9.58 Lakh; Pune: Rs.9.58 Lakh; Hyderabad: Rs.9.82 Lakh; Chennai: Rs.9.74 Lakh; Ahmedabad: Rs.9.25 Lakh; Lucknow: Rs.9.32 Lakh; Jaipur: Rs.9.52 Lakh; Patna: Rs.9.57 Lakh; Chandigarh: Rs.9.49 Lakh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maruti,Maruti Suzuki Dzire,Dzire VXI CNG,Rs.8.74 Lakh*Get On-Road Price,Z12E,1197 cc,69bhp@5700rpm,101.8Nm@2900rpm,3,4,N/A,5-Speed,FWD,N/A,N/A,N/A,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Disc,Drum,3995 mm,1735 mm,1525 mm,N/A,5,163 mm,2450 mm,1020-1025 kg,1435 kg,4,N/A,N/A,N/A,Height only,N/A,N/A,N/A,N/A,N/A,N/A,Adjustable,N/A,N/A,N/A,N/A,Rear,N/A,N/A,N/A,N/A,Front & Rear,N/A,N/A,N/A,N/A,N/A,N/A,Front & Rear,Front & Rear,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shark Fin,N/A,Electronic,Powered,165/80 R14,Radial Tubeless,14 Inch,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Driver's Window,N/A,N/A,N/A,Driver and Passenger,N/A,N/A,N/A,5 Star,4 Star,N/A,N/A,N/A,N/A,7 inch,N/A,N/A,N/A,Front & Rear,N/A,Bangalore: Rs.10.41 Lakh; Mumbai: Rs.9.80 Lakh; Pune: Rs.9.80 Lakh; Hyderabad: Rs.10.41 Lakh; Chennai: Rs.10.33 Lakh; Ahmedabad: Rs.9.82 Lakh; Lucknow: Rs.9.88 Lakh; Jaipur: Rs.10.09 Lakh; Patna: Rs.10.14 Lakh; Chandigarh: Rs.10.05 Lakh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maruti,Maruti Suzuki Dzire,Dzire ZXI,Rs.8.89 Lakh*Get On-Road Price,Z12E,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3,4,N/A,5-Speed,FWD,N/A,N/A,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Disc,Drum,3995 mm,1735 mm,1525 mm,382 Litres,5,163 mm,2450 mm,920-960 kg,1375 kg,4,N/A,N/A,N/A,Height only,N/A,N/A,N/A,N/A,N/A,N/A,Adjustable,N/A,N/A,N/A,N/A,Rear,N/A,N/A,N/A,N/A,Front & Rear,N/A,N/A,N/A,N/A,N/A,N/A,Front & Rear,Front & Rear,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shark Fin,N/A,Electronic,Powered,185/65 R15,Radial Tubeless,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,With Guidedlines,N/A,Driver's Window,N/A,N/A,N/A,Driver and Passenger,N/A,N/A,N/A,5 Star,4 Star,N/A,N/A,N/A,N/A,7 inch,N/A,N/A,N/A,Front & Rear,N/A,Bangalore: Rs.10.59 Lakh; Mumbai: Rs.10.32 Lakh; Pune: Rs.10.32 Lakh; Hyderabad: Rs.10.59 Lakh; Chennai: Rs.10.50 Lakh; Ahmedabad: Rs.9.98 Lakh; Lucknow: Rs.10.05 Lakh; Jaipur: Rs.10.26 Lakh; Patna: Rs.10.32 Lakh; Chandigarh: Rs.10.22 Lakh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maruti,Maruti Suzuki Dzire,Dzire ZXI AMT,Rs.9.34 Lakh*Get On-Road Price,Z12E,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3,4,N/A,5-Speed AMT,FWD,N/A,N/A,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Disc,Drum,3995 mm,1735 mm,1525 mm,382 Litres,5,163 mm,2450 mm,920-960 kg,1375 kg,4,N/A,N/A,N/A,Height only,N/A,N/A,N/A,N/A,N/A,N/A,Adjustable,N/A,N/A,N/A,N/A,Rear,N/A,N/A,N/A,N/A,Front & Rear,N/A,N/A,N/A,N/A,N/A,N/A,Front & Rear,Front & Rear,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shark Fin,N/A,Electronic,Powered,185/65 R15,Radial Tubeless,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,With Guidedlines,N/A,Driver's Window,N/A,N/A,N/A,Driver and Passenger,N/A,N/A,N/A,5 Star,4 Star,N/A,N/A,N/A,N/A,7 inch,N/A,N/A,N/A,Front & Rear,N/A,Bangalore: Rs.11.12 Lakh; Mumbai: Rs.10.84 Lakh; Pune: Rs.10.84 Lakh; Hyderabad: Rs.11.12 Lakh; Chennai: Rs.11.03 Lakh; Ahmedabad: Rs.10.47 Lakh; Lucknow: Rs.10.55 Lakh; Jaipur: Rs.10.77 Lakh; Patna: Rs.10.83 Lakh; Chandigarh: Rs.10.74 Lakh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maruti,Maruti Suzuki Dzire,Dzire ZXI CNG,Rs.9.84 Lakh*Get On-Road Price,Z12E,1197 cc,69bhp@5700rpm,101.8Nm@2900rpm,3,4,N/A,5-Speed,FWD,N/A,N/A,N/A,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Disc,Drum,3995 mm,1735 mm,1525 mm,N/A,5,163 mm,2450 mm,1020-1025 kg,1435 kg,4,N/A,N/A,N/A,Height only,N/A,N/A,N/A,N/A,N/A,N/A,Adjustable,N/A,N/A,N/A,N/A,Rear,N/A,N/A,N/A,N/A,Front & Rear,N/A,N/A,N/A,N/A,N/A,N/A,Front & Rear,Front & Rear,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shark Fin,N/A,Electronic,Powered,185/65 R15,Radial Tubeless,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,With Guidedlines,N/A,Driver's Window,N/A,N/A,N/A,Driver and Passenger,N/A,N/A,N/A,5 Star,4 Star,N/A,N/A,N/A,N/A,7 inch,N/A,N/A,N/A,Front & Rear,N/A,Bangalore: Rs.11.71 Lakh; Mumbai: Rs.11.02 Lakh; Pune: Rs.11.02 Lakh; Hyderabad: Rs.11.71 Lakh; Chennai: Rs.11.61 Lakh; Ahmedabad: Rs.11.04 Lakh; Lucknow: Rs.11.11 Lakh; Jaipur: Rs.11.34 Lakh; Patna: Rs.11.40 Lakh; Chandigarh: Rs.11.30 Lakh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maruti,Maruti Suzuki Dzire,Dzire ZXI Plus AMT,Rs.10.14 Lakh*Get On-Road Price,Z12E,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3,4,N/A,5-Speed AMT,FWD,N/A,N/A,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Disc,Drum,3995 mm,1735 mm,1525 mm,382 Litres,5,163 mm,2450 mm,920-960 kg,1375 kg,4,N/A,N/A,N/A,Height only,N/A,N/A,N/A,N/A,N/A,N/A,Adjustable,N/A,N/A,N/A,N/A,Rear,N/A,N/A,N/A,N/A,Front & Rear,N/A,N/A,N/A,N/A,N/A,N/A,Front & Rear,Front & Rear,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Front,Shark Fin,Single Pane,Electronic,Powered & Folding,185/65 R15,Radial Tubeless,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,With Guidedlines,N/A,Driver's Window,N/A,N/A,N/A,Driver and Passenger,N/A,N/A,N/A,5 Star,4 Star,N/A,N/A,N/A,N/A,9 inch,N/A,N/A,N/A,Front & Rear,N/A,Bangalore: Rs.12.47 Lakh; Mumbai: Rs.11.96 Lakh; Pune: Rs.11.96 Lakh; Hyderabad: Rs.12.47 Lakh; Chennai: Rs.12.57 Lakh; Ahmedabad: Rs.11.46 Lakh; Lucknow: Rs.11.75 Lakh; Jaipur: Rs.11.78 Lakh; Patna: Rs.11.85 Lakh; Chandigarh: Rs.11.75 Lakh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maruti,Maruti Suzuki Swift,Swift LXi,Rs.6.49 Lakh*Get On-Road Price,Z12E,1197 cc,80.46bhp@5700rpm,111.7Nm@4300rpm,3,4,N/A,5-Speed,FWD,N/A,N/A,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Ventilated Disc,Drum,3860 mm,1735 mm,1520 mm,265 Litres,5,163 mm,2450 mm,920 kg,1355 kg,5,N/A,N/A,N/A,Height only,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rear,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Front & Rear,Front Only,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Micropole,N/A,Electronic,Manual,165/80 R14,Radial Tubeless,14 Inch,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Driver's Window,N/A,N/A,N/A,Driver and Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,inch,N/A,N/A,N/A,N/A,N/A,Bangalore: Rs.7.76 Lakh; Mumbai: Rs.7.59 Lakh; Pune: Rs.7.58 Lakh; Hyderabad: Rs.7.97 Lakh; Chennai: Rs.7.68 Lakh; Ahmedabad: Rs.7.31 Lakh; Lucknow: Rs.7.27 Lakh; Jaipur: Rs.7.80 Lakh; Patna: Rs.7.53 Lakh; Chandigarh: Rs.7.50 Lakh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maruti,Maruti Suzuki Swift,Swift VXi,Rs.7.29 Lakh*Get On-Road Price,Z12E,1197 cc,80.46bhp@5700rpm,111.7Nm@4300rpm,3,4,N/A,5-Speed,FWD,N/A,N/A,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Ventilated Disc,Drum,3860 mm,1735 mm,1520 mm,265 Litres,5,163 mm,2450 mm,920 kg,1355 kg,5,N/A,N/A,N/A,Height only,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rear,N/A,N/A,N/A,N/A,Front,N/A,N/A,N/A,N/A,N/A,N/A,Front & Rear,Front Only,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Micropole,N/A,Electronic,Powered,165/80 R14,Radial Tubeless,14 Inch,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Driver's Window,N/A,N/A,N/A,Driver and Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7 inch,N/A,N/A,N/A,Front & Rear,N/A,Bangalore: Rs.8.71 Lakh; Mumbai: Rs.8.50 Lakh; Pune: Rs.8.50 Lakh; Hyderabad: Rs.8.94 Lakh; Chennai: Rs.8.61 Lakh; Ahmedabad: Rs.8.21 Lakh; Lucknow: Rs.8.15 Lakh; Jaipur: Rs.8.74 Lakh; Patna: Rs.8.44 Lakh; Chandigarh: Rs.8.41 Lakh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
