Brand,Model,Variant,Fuel Type,City,Ex-Showroom Price,RTO,Insurance
Jeep,Jeep Compass,2.0 Sport,Diesel  Base Model,Noida,"18,99,000","1,89,900","1,00,388"
Jeep,Jeep Compass,2.0 Longitude Opt,Diesel,Noida,"24,83,000","2,48,300","1,22,273"
Jeep,Jeep Compass,2.0 Night Eagle,Diesel,Noida,"25,18,000","2,51,800","1,23,585"
Jeep,Jeep Compass,2.0 Limited Opt,Diesel,Noida,"26,33,000","2,63,300","1,27,895"
Jeep,Jeep Compass,2.0 Longitude Opt AT,Diesel,Noida,"26,83,000","2,68,300","1,29,768"
Jeep,Jeep Compass,2.0 Black Shark Opt,Diesel,Noida,"26,83,000","2,68,300","1,29,768"
Jeep,Jeep Compass,2.0 Night Eagle AT,Diesel,Noida,"27,18,000","2,71,800","1,31,080"
Jeep,Jeep Compass,2.0 Model S Opt,Diesel,Noida,"28,33,000","2,83,300","1,35,390"
Jeep,Jeep Compass,2.0 Limited Opt FWD AT,Diesel,Noida,"28,33,000","2,83,300","1,35,390"
Jeep,Jeep Compass,2.0 Black Shark Opt FWD AT,Diesel,Noida,"28,83,000","2,88,300","1,37,263"
Jeep,Jeep Compass,2.0 Model S Opt FWD AT,Diesel,Noida,"30,33,000","3,03,300","1,42,885"
Jeep,Jeep Compass,2.0 Model S Opt 4x4 AT,Diesel  Top Model,Noida,"32,41,000","3,24,100","1,50,679"
Jeep,Jeep Compass,2.0 Sport,Diesel  Base Model,Gurgaon,"18,99,000","1,93,230","1,04,892"
Jeep,Jeep Compass,2.0 Longitude Opt,Diesel,Gurgaon,"24,83,000","2,51,630","1,27,412"
Jeep,Jeep Compass,2.0 Night Eagle,Diesel,Gurgaon,"25,18,000","2,55,130","1,28,762"
Jeep,Jeep Compass,2.0 Limited Opt,Diesel,Gurgaon,"26,33,000","2,66,630","1,33,197"
Jeep,Jeep Compass,2.0 Longitude Opt AT,Diesel,Gurgaon,"26,83,000","2,71,630","1,35,125"
Jeep,Jeep Compass,2.0 Black Shark Opt,Diesel,Gurgaon,"26,83,000","2,71,630","1,35,125"
Jeep,Jeep Compass,2.0 Night Eagle AT,Diesel,Gurgaon,"27,18,000","2,75,130","1,36,474"
Jeep,Jeep Compass,2.0 Model S Opt,Diesel,Gurgaon,"28,33,000","2,86,630","1,40,909"
Jeep,Jeep Compass,2.0 Limited Opt FWD AT,Diesel,Gurgaon,"28,33,000","2,86,630","1,40,909"
Jeep,Jeep Compass,2.0 Black Shark Opt FWD AT,Diesel,Gurgaon,"28,83,000","2,91,630","1,42,837"
Jeep,Jeep Compass,2.0 Model S Opt FWD AT,Diesel,Gurgaon,"30,33,000","3,06,630","1,48,622"
Jeep,Jeep Compass,2.0 Model S Opt 4x4 AT,Diesel  Top Model,Gurgaon,"32,41,000","3,27,430","1,56,642"
Jeep,Jeep Compass,2.0 Sport,Diesel  Base Model,Sonipat,"18,99,000","1,51,920","1,00,388"
Jeep,Jeep Compass,2.0 Longitude Opt,Diesel,Sonipat,"24,83,000","2,48,300","1,22,273"
Jeep,Jeep Compass,2.0 Night Eagle,Diesel,Sonipat,"25,18,000","2,51,800","1,23,585"
Jeep,Jeep Compass,2.0 Limited Opt,Diesel,Sonipat,"26,33,000","2,63,300","1,27,895"
Jeep,Jeep Compass,2.0 Longitude Opt AT,Diesel,Sonipat,"26,83,000","2,68,300","1,29,768"
Jeep,Jeep Compass,2.0 Black Shark Opt,Diesel,Sonipat,"26,83,000","2,68,300","1,29,768"
Jeep,Jeep Compass,2.0 Night Eagle AT,Diesel,Sonipat,"27,18,000","2,71,800","1,31,080"
Jeep,Jeep Compass,2.0 Model S Opt,Diesel,Sonipat,"28,33,000","2,83,300","1,35,390"
Jeep,Jeep Compass,2.0 Limited Opt FWD AT,Diesel,Sonipat,"28,33,000","2,83,300","1,35,390"
Jeep,Jeep Compass,2.0 Black Shark Opt FWD AT,Diesel,Sonipat,"28,83,000","2,88,300","1,37,263"
Jeep,Jeep Compass,2.0 Model S Opt FWD AT,Diesel,Sonipat,"30,33,000","3,03,300","1,42,885"
Jeep,Jeep Compass,2.0 Model S Opt 4x4 AT,Diesel  Top Model,Sonipat,"32,41,000","3,24,100","1,50,679"
Jeep,Jeep Compass,2.0 Sport,Diesel  Base Model,Meerut,"18,99,000","1,89,900","1,00,388"
Jeep,Jeep Compass,2.0 Longitude Opt,Diesel,Meerut,"24,83,000","2,48,300","1,22,273"
Jeep,Jeep Compass,2.0 Night Eagle,Diesel,Meerut,"25,18,000","2,51,800","1,23,585"
Jeep,Jeep Compass,2.0 Limited Opt,Diesel,Meerut,"26,33,000","2,63,300","1,27,895"
Jeep,Jeep Compass,2.0 Longitude Opt AT,Diesel,Meerut,"26,83,000","2,68,300","1,29,768"
Jeep,Jeep Compass,2.0 Black Shark Opt,Diesel,Meerut,"26,83,000","2,68,300","1,29,768"
Jeep,Jeep Compass,2.0 Night Eagle AT,Diesel,Meerut,"27,18,000","2,71,800","1,31,080"
Jeep,Jeep Compass,2.0 Model S Opt,Diesel,Meerut,"28,33,000","2,83,300","1,35,390"
Jeep,Jeep Compass,2.0 Limited Opt FWD AT,Diesel,Meerut,"28,33,000","2,83,300","1,35,390"
Jeep,Jeep Compass,2.0 Black Shark Opt FWD AT,Diesel,Meerut,"28,83,000","2,88,300","1,37,263"
Jeep,Jeep Compass,2.0 Model S Opt FWD AT,Diesel,Meerut,"30,33,000","3,03,300","1,42,885"
Jeep,Jeep Compass,2.0 Model S Opt 4x4 AT,Diesel  Top Model,Meerut,"32,41,000","3,24,100","1,50,679"
Jeep,Jeep Compass,2.0 Sport,Diesel  Base Model,Rohtak,"18,99,000","1,51,920","1,00,388"
Jeep,Jeep Compass,2.0 Longitude Opt,Diesel,Rohtak,"24,83,000","2,48,300","1,22,273"
Jeep,Jeep Compass,2.0 Night Eagle,Diesel,Rohtak,"25,18,000","2,51,800","1,23,585"
Jeep,Jeep Compass,2.0 Limited Opt,Diesel,Rohtak,"26,33,000","2,63,300","1,27,895"
Jeep,Jeep Compass,2.0 Longitude Opt AT,Diesel,Rohtak,"26,83,000","2,68,300","1,29,768"
Jeep,Jeep Compass,2.0 Black Shark Opt,Diesel,Rohtak,"26,83,000","2,68,300","1,29,768"
Jeep,Jeep Compass,2.0 Night Eagle AT,Diesel,Rohtak,"27,18,000","2,71,800","1,31,080"
Jeep,Jeep Compass,2.0 Model S Opt,Diesel,Rohtak,"28,33,000","2,83,300","1,35,390"
Jeep,Jeep Compass,2.0 Limited Opt FWD AT,Diesel,Rohtak,"28,33,000","2,83,300","1,35,390"
Jeep,Jeep Compass,2.0 Black Shark Opt FWD AT,Diesel,Rohtak,"28,83,000","2,88,300","1,37,263"
Jeep,Jeep Compass,2.0 Model S Opt FWD AT,Diesel,Rohtak,"30,33,000","3,03,300","1,42,885"
Jeep,Jeep Compass,2.0 Model S Opt 4x4 AT,Diesel  Top Model,Rohtak,"32,41,000","3,24,100","1,50,679"
Jeep,Jeep Compass,2.0 Sport,Diesel  Base Model,Karnal,"18,99,000","1,51,920","1,00,388"
Jeep,Jeep Compass,2.0 Longitude Opt,Diesel,Karnal,"24,83,000","2,48,300","1,22,273"
Jeep,Jeep Compass,2.0 Night Eagle,Diesel,Karnal,"25,18,000","2,51,800","1,23,585"
Jeep,Jeep Compass,2.0 Limited Opt,Diesel,Karnal,"26,33,000","2,63,300","1,27,895"
Jeep,Jeep Compass,2.0 Longitude Opt AT,Diesel,Karnal,"26,83,000","2,68,300","1,29,768"
Jeep,Jeep Compass,2.0 Black Shark Opt,Diesel,Karnal,"26,83,000","2,68,300","1,29,768"
Jeep,Jeep Compass,2.0 Night Eagle AT,Diesel,Karnal,"27,18,000","2,71,800","1,31,080"
Jeep,Jeep Compass,2.0 Model S Opt,Diesel,Karnal,"28,33,000","2,83,300","1,35,390"
Jeep,Jeep Compass,2.0 Limited Opt FWD AT,Diesel,Karnal,"28,33,000","2,83,300","1,35,390"
Jeep,Jeep Compass,2.0 Black Shark Opt FWD AT,Diesel,Karnal,"28,83,000","2,88,300","1,37,263"
Jeep,Jeep Compass,2.0 Model S Opt FWD AT,Diesel,Karnal,"30,33,000","3,03,300","1,42,885"
Jeep,Jeep Compass,2.0 Model S Opt 4x4 AT,Diesel  Top Model,Karnal,"32,41,000","3,24,100","1,50,679"
Jeep,Jeep Compass,2.0 Sport,Diesel  Base Model,Hisar,"18,99,000","1,57,040","1,09,000"
Jeep,Jeep Compass,2.0 Longitude Opt,Diesel,Hisar,"24,83,000","2,53,420","1,30,193"
Jeep,Jeep Compass,2.0 Night Eagle,Diesel,Hisar,"25,18,000","2,56,920","1,31,589"
Jeep,Jeep Compass,2.0 Limited Opt,Diesel,Hisar,"26,33,000","2,68,420","1,33,189"
Jeep,Jeep Compass,2.0 Longitude Opt AT,Diesel,Hisar,"26,83,000","2,73,420","1,33,808"
Jeep,Jeep Compass,2.0 Black Shark Opt,Diesel,Hisar,"26,83,000","2,73,420","1,33,808"
Jeep,Jeep Compass,2.0 Night Eagle AT,Diesel,Hisar,"27,18,000","2,76,920","1,34,808"
Jeep,Jeep Compass,2.0 Model S Opt,Diesel,Hisar,"28,33,000","2,88,420","1,35,700"
Jeep,Jeep Compass,2.0 Limited Opt FWD AT,Diesel,Hisar,"28,33,000","2,88,420","1,35,700"
Jeep,Jeep Compass,2.0 Black Shark Opt FWD AT,Diesel,Hisar,"28,83,000","2,93,420","1,38,600"
Jeep,Jeep Compass,2.0 Model S Opt FWD AT,Diesel,Hisar,"30,33,000","3,08,420","1,42,488"
Jeep,Jeep Compass,2.0 Model S Opt 4x4 AT,Diesel  Top Model,Hisar,"32,41,000","3,29,220","1,47,002"
Jeep,Jeep Compass,2.0 Sport,Diesel  Base Model,Agra,"18,99,000","1,93,900","1,10,351"
Jeep,Jeep Compass,2.0 Longitude Opt,Diesel,Agra,"24,83,000","2,52,300","1,34,528"
Jeep,Jeep Compass,2.0 Night Eagle,Diesel,Agra,"25,18,000","2,55,800","1,35,977"
Jeep,Jeep Compass,2.0 Limited Opt,Diesel,Agra,"26,33,000","2,67,300","1,40,739"
Jeep,Jeep Compass,2.0 Longitude Opt AT,Diesel,Agra,"26,83,000","2,72,300","1,42,808"
Jeep,Jeep Compass,2.0 Black Shark Opt,Diesel,Agra,"26,83,000","2,72,300","1,42,808"
Jeep,Jeep Compass,2.0 Night Eagle AT,Diesel,Agra,"27,18,000","2,75,800","1,44,257"
Jeep,Jeep Compass,2.0 Model S Opt,Diesel,Agra,"28,33,000","2,87,300","1,49,019"
Jeep,Jeep Compass,2.0 Limited Opt FWD AT,Diesel,Agra,"28,33,000","2,87,300","1,49,019"
Jeep,Jeep Compass,2.0 Black Shark Opt FWD AT,Diesel,Agra,"28,83,000","2,92,300","1,51,088"
Jeep,Jeep Compass,2.0 Model S Opt FWD AT,Diesel,Agra,"30,33,000","3,07,300","1,57,299"
Jeep,Jeep Compass,2.0 Model S Opt 4x4 AT,Diesel  Top Model,Agra,"32,41,000","3,28,100","1,65,908"
Jeep,Jeep Compass,2.0 Sport,Diesel  Base Model,Dehradun,"18,99,000","1,92,900","1,00,388"
Jeep,Jeep Compass,2.0 Longitude Opt,Diesel,Dehradun,"24,83,000","2,51,300","1,22,273"
Jeep,Jeep Compass,2.0 Night Eagle,Diesel,Dehradun,"25,18,000","2,54,800","1,23,585"
Jeep,Jeep Compass,2.0 Limited Opt,Diesel,Dehradun,"26,33,000","2,66,300","1,27,895"
